City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
396,hami,42.8,93.45,-5.35,44,1,1.53,CN,1709154429
397,tadine,-21.55,167.8833,25.97,78,79,6.75,NC,1709154429
398,roma,43.2128,-75.4557,16.32,75,100,3.6,US,1709154430
399,beni mellal,32.3373,-6.3498,9.82,39,3,0.85,MA,1709154430
400,kamennomostskoye,43.7372,43.0514,-0.32,74,4,1.7,RU,1709154430
401,galesong,-5.3166,119.3661,25.01,81,98,1.53,ID,1709154430
402,siwa oasis,29.2041,25.5195,17.69,38,2,5.31,EG,1709154431
403,basco,20.4487,121.9702,24.6,73,64,7.56,PH,1709154431
404,concepcion,-36.827,-73.0498,20.97,51,67,5.91,CL,1709154431
405,yemetsk,63.4721,41.7941,-0.13,99,100,1.1,RU,1709154431
406,galliano,29.4422,-90.2992,26.11,61,0,6.17,US,1709154432
407,breves,-1.6822,-50.4803,23.02,98,100,1.84,BR,1709154432
408,priozersk,61.0393,30.1291,2.83,84,100,1.77,RU,1709154432
409,selkirk,50.1436,-96.8845,-13.28,56,100,1.79,CA,1709154433
410,banda aceh,5.5577,95.3222,26.62,82,46,4.55,ID,1709154433
411,tamiyah,29.4764,30.9612,16.57,61,0,5.88,EG,1709154433
412,seabra,-12.4186,-41.7703,24.19,74,72,1.6,BR,1709154433
413,kill devil hills,36.0307,-75.676,20.01,70,0,11.83,US,1709154434
414,nemuro,43.3236,145.575,-9.31,72,29,8.98,JP,1709154434
415,quepos,9.4236,-84.1652,30.11,64,44,2.89,CR,1709154434
416,vila velha,-20.3297,-40.2925,28.97,85,20,4.63,BR,1709154361
417,thinadhoo,0.5333,72.9333,26.6,80,100,4.35,MV,1709154435
418,boa vista,2.8197,-60.6733,33.99,36,40,4.12,BR,1709154435
419,kapa'a,22.0752,-159.319,22.99,77,100,7.72,US,1709154435
420,dompu,-8.5356,118.4622,24.47,93,85,0.73,ID,1709154435
421,es castell,39.8795,4.2854,12.38,71,75,14.4,ES,1709154436
422,barcelos,41.5388,-8.6151,12.08,94,37,2.38,PT,1709154200
423,wynyard,-41.0,145.7167,17.46,83,100,6.65,AU,1709154436
424,gereida,11.2811,25.1414,25.93,13,1,4.57,SD,1709154436
425,villa huidobro,-34.8383,-64.5869,34.81,28,17,4.72,AR,1709154436
426,bukoba,-1.3317,31.8122,20.1,87,64,1.35,TZ,1709154437
427,peace river,56.2501,-117.286,-7.32,54,98,2.8,CA,1709154437
428,callao,-12.0667,-77.15,25.16,73,0,7.2,PE,1709154437
429,kilkis,40.9919,22.8708,13.45,79,100,1.11,GR,1709154437
430,rongelap,11.1635,166.8941,26.54,74,100,7.86,MH,1709154438
431,muynoq,43.7683,59.0214,1.34,53,94,1.38,UZ,1709154438
432,sinabang,2.4803,96.3801,27.18,82,100,0.57,ID,1709154438
433,vancleave,30.5405,-88.6875,27.38,63,0,3.09,US,1709154438
434,chunskiy,56.0815,99.6342,-15.74,95,100,1.24,RU,1709154438
435,posto fiscal rolim de moura,-13.0833,-62.2667,29.37,64,96,0.88,BR,1709154439
436,altai,46.3722,96.2583,-24.97,80,3,1.23,MN,1709154439
437,lerwick,60.1545,-1.1494,8.0,91,100,12.46,GB,1709154439
438,axim,4.8699,-2.2405,27.51,88,94,2.46,GH,1709154439
439,tucumcari,35.1717,-103.725,9.97,23,0,6.69,US,1709154439
440,iquique,-20.2208,-70.1431,22.91,72,92,3.71,CL,1709154440
441,navapolatsk,55.5363,28.6424,4.82,83,100,2.86,BY,1709154440
442,northam,51.0333,-4.2167,10.77,98,100,8.72,GB,1709154440
443,port blair,11.6667,92.75,26.77,73,62,2.72,IN,1709154440
444,quellon,-43.1167,-73.6167,14.79,69,98,2.07,CL,1709154440
445,spanish town,17.9911,-76.9574,27.6,66,73,2.05,JM,1709154441
446,mugia,43.1041,-9.2179,12.17,83,100,4.19,ES,1709154441
447,la sarre,48.8002,-79.1996,-18.55,94,100,8.01,CA,1709154162
448,waingapu,-9.6567,120.2641,26.88,82,83,1.64,ID,1709154442
449,kharp,66.8014,65.8081,-7.83,91,91,3.24,RU,1709154442
450,busayra,30.7376,35.6078,9.86,42,26,4.53,JO,1709154442
451,veraval,20.9,70.3667,24.28,55,2,2.82,IN,1709154443
452,port augusta,-32.5,137.7667,20.98,74,6,4.65,AU,1709154443
453,esmeraldas,-19.7625,-44.3139,30.48,73,84,0.68,BR,1709154443
454,san andres,12.5847,-81.7006,20.01,100,20,6.17,CO,1709154443
455,ceres,37.5949,-120.9577,19.89,42,0,0.0,US,1709154447
